"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BLDG20-0636","02/10/2020","RESIDENTIAL BUILDING","BUILDING","9331 IRVING ST","Foundation structural piers","BRENT PETTERSEN","ECON:200204023719371"
"BLDG20-0689","02/10/2020","RESIDENTIAL COUNTER","WATER HEATER","6301 W 95TH AVE","Water Heater Install","MAJOR HEATING AND AIR CONDITIO...","ECON:200206053125593"
"BLDG20-0691","02/10/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","11586 MARSHALL ST","Roof Mount, Flush Mount, Grid-...","SUNRUN INSTALLATION SERVICES I...","ECON:200207075031585"
"BLDG20-0705","02/10/2020","RESIDENTIAL COUNTER","WATER HEATER","7120 UTICA ST","Replace 50 gallon water heater...","COLORADO PLUMBING CONTRACTORS","ECON:200209114726021"
"BLDG20-0711","02/10/2020","RESIDENTIAL EXTERIOR","DECK","9245 PERRY ST","Remove and replace deck in big...","SRI","ECON:200210094545473"
"BLDG20-0716","02/10/2020","RESIDENTIAL COUNTER","WATER HEATER","10153 IRVING ST","install a 40 gallon 40K BTU wa...","BROTHERS PLUMBING HEATING &  E...","ECON:200210110945359"
"BLDG20-0719","02/10/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","11558 KENDALL ST","install replacement","COOPER HEATING & COOLING INC","ECON:200210124228224"
"BLDG20-0728","02/10/2020","RESIDENTIAL COUNTER","SEWER REPAIR","1678 W 115TH CIR","clean out installation","SHARK'S EXCAVATION LLC","ECON:200210043853827"
"BLDG19-6879","02/07/2020","RESIDENTIAL BUILDING","ELECTRICAL","4910 W 98TH AVE","Service Upgrade and new meter ...","BRE LLC","ECON:191003122929337"
"BLDG19-8177","02/07/2020","RESIDENTIAL EXTERIOR","ADDITION","13567 QUIVAS ST","12'X18' Patio enclosure","CHAMPION WINDOWS","ECON:191122062200088"
"BLDG20-0181","02/07/2020","RESIDENTIAL EXTERIOR","SPA OR HOT TUB","8318 W 90TH AVE","Install Hot Tub","Salzano Electrical Services","EPRS:200111055456302"
"BLDG20-0265","02/07/2020","COMMERCIAL TRAILER","CONSTRUCTION TRAILER","11552 SHERIDAN BLVD","30'x8' Construction Trailer","GOLDEN TRIANGLE CONSTRUCTION I...","ECON:200115040942882"
"BLDG20-0414","02/07/2020","COMMERCIAL SIGN","SIGN","4750 W 120TH AVE #400","Replace one word in an exisitn...","BROOMFIELD SIGN CO INC","ECON:200124114109872"
"BLDG20-0464","02/07/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","7413 BENTON ST","Install 19 sq vinyl siding, so...","POWER HOME REMODELING GROUP","ECON:200128091632211"
"BLDG20-0603","02/07/2020","RESIDENTIAL COUNTER","WATER HEATER","11415 KING ST","install a 40 gallon 40K BTU wa...","BROTHERS PLUMBING HEATING &  E...","ECON:200203015241146"
"BLDG20-0651","02/07/2020","RESIDENTIAL COUNTER","WATER HEATER","10052 ZENOBIA CT","Replace 50 gallon 40K BTU nat ...","MCADAMS PLUMBING","ECON:200205111340006"
"BLDG20-0684","02/07/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7660 LOWELL BLVD","8' SPOT REPAIR IN FRONT YARD A...","TRENCH RIGHT","ECON:200206010204322"
"BLDG20-0037","02/06/2020","COMMERCIAL","TENANT FINISH","12831 DELAWARE ST","Sales office in garage of mode...","Century Communities","ECON:200103103615556"
"BLDG20-0302","02/06/2020","COMMERCIAL","TENANT FINISH","0 10342 Federal 10398 0 Blvd","test","","KCUR:200117121004417"
"BLDG20-0389","02/06/2020","COMMERCIAL","BUILDING","500 W 144TH AVE","Access control entrance of 2 s...","KENNY ELECTRIC SERVICE","ECON:200123081036679"
"BLDG20-0645","02/06/2020","RESIDENTIAL COUNTER","REROOF","9212 EVERETT ST","Remove and replace roof shingl...","BLUE SPRUCE CONSTRUCTION GROUP...","ECON:200204101702490"
"BLDG20-0658","02/06/2020","RESIDENTIAL COUNTER","WATER HEATER","9215 DOVER WAY","40 gal gas 40kBTU W.H/see perm...","PLUMBLINE SERVICES","ECON:200205021753549"
"BLDG20-0659","02/06/2020","RESIDENTIAL BUILDING","ELECTRICAL","9215 DOVER WAY","200 amp underground service up...","PLUMBLINE SERVICES INC","ECON:200205022420661"
"BLDG20-0662","02/06/2020","RESIDENTIAL COUNTER","WATER HEATER","2742 BRUCHEZ PKWY #108","Install new hot water heater","","ECON:200205054108600"
"BLDG20-0663","02/06/2020","RESIDENTIAL COUNTER","WATER HEATER","2748 BRUCHEZ PKWY 102","Installm new water heater","","ECON:200205054248637"
"BLDG20-0664","02/06/2020","RESIDENTIAL COUNTER","WATER HEATER","2748 BRUCHEZ PKWY #104","Install new water heater","","ECON:200205054413669"
"BLDG20-0665","02/06/2020","RESIDENTIAL COUNTER","REROOF","8410 W 95TH DR","Re-roof","CROWN ROYAL BUILDERS INC","ECON:200206061831199"
"BLDG20-0666","02/06/2020","RESIDENTIAL COUNTER","REROOF","9861 UPHAM DR","Complete re-roof, OC Duration,...","COLUMBINE ROOFING LLC","ECON:200206070406282"
"BLDG20-0667","02/06/2020","RESIDENTIAL EXTERIOR","DECK","10410 W 107TH AVE","deck replacement","BAREFOOT DECKS","ECON:200206071054353"
"BLDG20-0668","02/06/2020","RESIDENTIAL COUNTER","WATER HEATER","11310 WOLFF CT","replace 40 gallon gas water he...","Steadfast Plumbing Inc","ECON:200206081350694"
"BLDG20-0669","02/06/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","8630 W 92ND PL","converting closet into 2nd bat...","Homeowner","EPRS:200206081637760"
"BLDG20-0671","02/06/2020","RESIDENTIAL COUNTER","REROOF","8571 W 91ST PL","replace roof","DENVER ROOFERS LLC","ECON:200206082715974"
"BLDG20-0672","02/06/2020","RESIDENTIAL EXTERIOR","SHED OR ACCESSORY STRUCTURE","6971 CLAY ST","20 X 30 X 10 detached garage","A SHED USA","ECON:200206083102008"
"BLDG20-0673","02/06/2020","RESIDENTIAL BUILDING","BUILDING","11418 W 104TH DR","Wood Burning Stove in Garage","WERTZ RICHARD H JR","TGAR:200206083553789"
"BLDG20-0674","02/06/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #1716","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200206092156340"
"BLDG20-0675","02/06/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #1528","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200206092512397"
"BLDG20-0676","02/06/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7986 QUITMAN ST","8' SPOT REPAIR IN FRONT YARD A...","TRENCH RIGHT","ECON:200206103037836"
"BLDG20-0679","02/06/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","5342 W 97TH PL","1 bed, 1 bath, wet bar","LINCO ENTERPRISES LLC","ECON:200206110929309"
"BLDG20-0681","02/06/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","10150 ZENOBIA CIR","install replacement","COOPER HEATING & COOLING INC","ECON:200206123748074"
"BLDG20-0683","02/06/2020","RESIDENTIAL COUNTER","REROOF","10320 NEWCOMBE ST","22 sqs - Tamko Old English pew...","JAGGER ENTERPRISES DBA JAGGER ...","ECON:200206010157305"
"BLDG19-8679","02/05/2020","RESIDENTIAL BUILDING","ELECTRICAL","10385 XAVIER ST","200 amp Service upgrade","BRE LLC","ECON:191226105934826"
"BLDG20-0011","02/05/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","8821 MEADE ST","Berkeley Homes Model - Skyline...","BH Skyline dba Berkeley Homes","ECON:200102113251713"
"BLDG20-0012","02/05/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","8823 MEADE ST","Berkeley Homes Model - Skyline...","Berkeley Homes -","ECON:200102114532912"
"BLDG20-0152","02/05/2020","RESIDENTIAL COUNTER","WATER HEATER","8042 BRYANT ST","Install Water Heater","COLORADO CUSTOM SERVICE -PLUMB...","ECON:200109011620912"
"BLDG20-0180","02/05/2020","RESIDENTIAL EXTERIOR","FENCE","13070 VALLEJO CIR","Replace existing wood fence wi...","A SHARPER IMAGE LANDSCAPING","ECON:200110104342153"
"BLDG20-0182","02/05/2020","RESIDENTIAL BUILDING","BUILDING","4688 HYLAND GREENS PL","Whole House retrofit plus 14'x...","PRECISION CUSTOM BUILDERS LLC","EPRS:200113014834210"
"BLDG20-0260","02/05/2020","RESIDENTIAL COUNTER","WATER HEATER","9731 KING WAY","Replace existing water heater ...","MADDISON MECHANICAL","ECON:200115031441442"
"BLDG20-0262","02/05/2020","RESIDENTIAL COUNTER","WATER HEATER","3262 W 96TH CIR","Replace existing water heater ...","MADDISON MECHANICAL","ECON:200115032109559"
"BLDG20-0442","02/05/2020","RESIDENTIAL EXTERIOR","FENCE","2547 W 104TH CIR","Fence","BACKYARD STORAGE SOLUTIONS LLC","EPRS:200127113103939"
"BLDG20-0454","02/05/2020","RESIDENTIAL BUILDING","PLUMBING","1725 W 129TH DR","new gasline to firepit, underg...","RNR PLUMBING","ECON:200128064003950"
"BLDG20-0562","02/05/2020","RESIDENTIAL COUNTER","FURNACE","6880 W 91ST CT #15303","replace furnace","AFFORDABLE PLUMBING AND HEATIN...","ECON:200130021701150"
"BLDG20-0563","02/05/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9736 KENDALL CT","22' long sewer sewer service r...","THE ELITE PIPE MD","ECON:200130022604302"
"BLDG20-0592","02/05/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9113 W 92ND AVE","Sanitary sewer repair in yard ...","PREMIER EXCAVATION SERVICES","ECON:200203101010681"
"BLDG20-0620","02/05/2020","RESIDENTIAL BUILDING","BUILDING","3695 W 102ND AVE","Interior remodel","2B ELECTRICAL LLC","ECON:200204101159888"
"BLDG20-0621","02/05/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","9650 LAMAR PL","4.88 kW residential solar arra...","BRS FIELD OPS LLC","ECON:200204101936009"
"BLDG20-0624","02/05/2020","RESIDENTIAL COUNTER","WATER HEATER","9943 GROVE PL","water heater install","AAA SERVICE PLUMBING INC","ECON:200204123115963"
"BLDG20-0626","02/05/2020","RESIDENTIAL COUNTER","FURNACE","10638 OSCEOLA DR","Replace furnace","Service Experts  - Bartels Wes...","ECON:200204125759149"
"BLDG20-0633","02/05/2020","RESIDENTIAL COUNTER","FURNACE","10717 LEWIS CT","Install furnace 80% 75k","ARS - PLUMBING","ECON:200204022400110"
"BLDG20-0637","02/05/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10082 W 100TH PL","replacement furnace a/c","SANCHEZ MECHANICAL INC","MSCA:200204030900767"
"BLDG20-0639","02/05/2020","RESIDENTIAL COUNTER","FURNACE","6885 W 91ST CT #24305","Replaced failed furnace - like...","BROOMHALL BROTHERS MECHANICAL ...","ECON:200204033206270"
"BLDG20-0643","02/05/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","9861 UPHAM DR","remove and re install solar fo...","STATIC ELECTRIC LLC","ECON:200204045613982"
"BLDG20-0644","02/05/2020","RESIDENTIAL BUILDING","ELECTRICAL","7861 STUART PL","Upgrade service to a 200 amp p...","VIGIL ELECTRIC LLC","ECON:200204081123329"
"BLDG20-0647","02/05/2020","RESIDENTIAL COUNTER","WATER HEATER","9750 WESTCLIFF PKWY #521","#521 - replace water heater","PROCRAFT MECHANICAL INC (PLUMB...","ECON:200205070950558"
"BLDG20-0648","02/05/2020","RESIDENTIAL COUNTER","WATER HEATER","8755 W 96TH DR","Install new 40 gallon water he...","HIGH 5 PLUMBING INC","ECON:200205072614664"
"BLDG20-0649","02/05/2020","RESIDENTIAL COUNTER","REROOF","9918 GARLAND DR","replace roof","DENVER ROOFERS LLC","ECON:200205083623881"
"BLDG20-0654","02/05/2020","RESIDENTIAL COUNTER","SEWER REPAIR","3150 KASSLER PL","Sewer spot repair in front yar...","SEWER LINES ONLY","ECON:200205120314373"
"BLDG20-0655","02/05/2020","RESIDENTIAL COUNTER","FURNACE","7181 FENTON CT","80% 9ok btu furnace and combus...","TEAMWORKS MECHANICAL LLC","ECON:200205121615505"
"BLDG19-7745","02/04/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7402 CHURCH RANCH BLVD #126","Remove and replace furnace and...","MINUTEMAN HEATING AND COOLING ...","ECON:191104030150974"
"BLDG19-7746","02/04/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7402 CHURCH RANCH BLVD #713","Remove and replace furnace and...","MINUTEMAN HEATING AND COOLING ...","ECON:191104030303010"
"BLDG19-8208","02/04/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7402 CHURCH RANCH BLVD #111","Remove and replace furnace and...","MINUTEMAN HEATING AND COOLING ...","ECON:191125110504988"
"BLDG20-0127","02/04/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","7130 VRAIN ST","10 panels, 1 inverter, 3.15kW,...","SOLCIUS LLC","ECON:200108120329618"
"BLDG20-0144","02/04/2020","COMMERCIAL","TENANT FINISH","6051 W 95TH AVE","Westminster sports center - ad...","SAND CONSTRUCTION CO - Michael...","ECON:200109091948099"
"BLDG20-0219","02/04/2020","COMMERCIAL","BUILDING","9110 YATES ST","Add 1 office","SAND CONSTRUCTION CO - Michael...","ECON:200114112025956"
"BLDG20-0415","02/04/2020","RESIDENTIAL EXTERIOR","FENCE","10076 FLOWER ST","Install 60' of iron & 41' of c...","SPLIT RAIL FENCE CO","ECON:200124121812501"
"BLDG20-0416","02/04/2020","RESIDENTIAL EXTERIOR","FENCE","10086 FLOWER ST","Install 47' of iron & 17' of c...","SPLIT RAIL FENCE CO","ECON:200124122844601"
"BLDG20-0548","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","10852 W 100TH DR","water heater install","AAA SERVICE PLUMBING INC","ECON:200130093855156"
"BLDG20-0564","02/04/2020","COMMERCIAL TRAILER","CONSTRUCTION TRAILER","9050 WADSWORTH PKWY","Jobsite trailer","MARTINES PALMEIRO CONSTRUCTION...","ECON:200130030025587"
"BLDG20-0578","02/04/2020","RESIDENTIAL COUNTER","FURNACE","10177 OWENS DR","REPLACE FURNACE WIT H 97% 80K ...","Swan Heating & Air Conditionin...","ECON:200131093521323"
"BLDG20-0580","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","11028 EATON ST","REPLACE WATER HEATER WITH 50 G...","APPLEWOOD PLUMBING HEATING & E...","ECON:200131104054605"
"BLDG20-0582","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","9121 FEDERAL BLVD #131","Replacing Like For Like 40 gal...","PEAK MECHANICAL LLC","ECON:200131125611372"
"BLDG20-0588","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","9755 CARR CIR","REPLACE WATER HEATER WITH 50 G...","APPLEWOOD PLUMBING HEATING & E...","ECON:200131041103964"
"BLDG20-0593","02/04/2020","COMMERCIAL","WATER REPAIR","10710 WESTMINSTER BLVD","Excavate and repair water serv...","Professional Sewer Excavation,...","ECON:200203101731796"
"BLDG20-0597","02/04/2020","RESIDENTIAL BUILDING","PLUMBING","12981 HARMONY PKWY","add gas line to grill and to s...","EASTWOOD PHE LLC DBA TIPPING H...","ECON:200203120313880"
"BLDG20-0605","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","9296 W 98TH WAY","REPLACE 50 GAL GAS WATER HEATE...","DOCTOR FIX IT PLUMBING HEATING...","ECON:200203024514621"
"BLDG20-0606","02/04/2020","RESIDENTIAL BUILDING","BUILDING","7721 W 87TH DR","Installing 4 push piers to sta...","PEAK STRUCTURAL","ECON:200203032432243"
"BLDG20-0608","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #2012","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200203035628009"
"BLDG20-0612","02/04/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","11242 BENTON CT","Replacing furnace and adding A...","PREMIER HEATING AND AIR","ECON:200203052753434"
"BLDG20-0615","02/04/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2430 W 82ND PL #1B","REPLACE FURNACE AND AC W/  80%...","Swan Heating & Air Conditionin...","ECON:200204080231807"
"BLDG20-0616","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","2430 W 82ND PL #1B","REPLACE WATER HEATER WITH 50 G...","Swan Heating & Air Conditionin...","ECON:200204080434849"
"BLDG20-0617","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","11326 DEPEW WAY","water heater install","AAA SERVICE PLUMBING INC","ECON:200204085808217"
"BLDG20-0618","02/04/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10703 MOORE WAY","16 seer 2 ton AC, 90% 60k BTU ...","PLUMBLINE SERVICES INC","ECON:200204091042333"
"BLDG20-0619","02/04/2020","RESIDENTIAL COUNTER","FURNACE","11193 W 103RD CIR","Furnace replacement.  Install ...","LAKESIDE HEATING & AC","ECON:200204093141562"
"BLDG20-0622","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #2124","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200204110123337"
"BLDG20-0628","02/04/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","7130 UTICA ST","Install heat pump mini split","DAY & NIGHT EMERGENCY SERVICE ...","ECON:200204012442402"
"BLDG20-0631","02/04/2020","RESIDENTIAL BUILDING","ELECTRICAL","10442 HOYT CT","200 amp underground service ch...","JUST IN TIME ELECTRICAL SERVIC...","ECON:200204015949818"
"BLDG20-0634","02/04/2020","RESIDENTIAL COUNTER","FURNACE","4681 W 100TH AVE","install replacement","COOPER HEATING & COOLING INC","ECON:200204022846217"
"BLDG20-0638","02/04/2020","RESIDENTIAL COUNTER","FURNACE","6870 W 91ST CT #7203","Replaced existing failed furna...","BROOMHALL BROTHERS MECHANICAL ...","ECON:200204030953890"
"BLDG20-0640","02/04/2020","RESIDENTIAL COUNTER","REROOF","9091 CODY ST","COMPLETE REROOF","HOMEOWNER","MSCA:200204033259954"
"BLDG20-0641","02/04/2020","RESIDENTIAL BUILDING","ELECTRICAL","8295 CIRCLE DR","Panel upgrade","FRANCCI ELECTRIC AND CONTROLS ...","ECON:200204034635391"
"BLDG20-0642","02/04/2020","RESIDENTIAL COUNTER","WATER HEATER","10987 FENTON CIR","Replace 40 Gallon Waterheater","PINEDO & ASSOCIATES INC.","ECON:200204040934641"
"BLDG19-6097","02/03/2020","COMMERCIAL","BUILDING","8490 SHERIDAN BLVD BLDG CH","Reconstruct Staircase Due to V...","REGAL CONTRACTING INC","ECON:190910054840675"
"BLDG19-6880","02/03/2020","RESIDENTIAL BUILDING","ELECTRICAL","10384 ZENOBIA CT","Service upgrade, new meter hou...","BRE LLC","ECON:191003123110374"
"BLDG19-7345","02/03/2020","RESIDENTIAL COUNTER","REROOF","10414 OWENS CIR","remove and replace shingles","ADVOCATE CONSTRUCTION","ECON:191018025756802"
"BLDG19-7941","02/03/2020","RESIDENTIAL BUILDING","BUILDING","11001 MARSHALL ST","egress window","DENVER EGRESS WINDOW","ECON:191112111435864"
"BLDG20-0183","02/03/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","1506 LEXINGTON AVE","Fire Damage Restoration","JIM BLACK CONSTRUCTION","ECON:200113073246783"
"BLDG20-0296","02/03/2020","RESIDENTIAL BUILDING","MECHANICAL","2740 W 86TH AVE #197","Extension of dryer vent","BARNES CUSTOM ENTERPRISES INC","ECON:200116025639135"
"BLDG20-0307","02/03/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","10264 QUAIL ST","Grid-tied, flush-mounted 3.52 ...","SUNTALK SOLAR","ECON:200120085248149"
"BLDG20-0324","02/03/2020","RESIDENTIAL BUILDING","BUILDING","8802 W 86TH AVE","pier installation","BRENT PETTERSEN","ECON:200121083811459"
"BLDG20-0362","02/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","4530 W 110TH CIR","Replacement of HVAC system","KAPPLER MECH & ELECTRICAL INC","ECON:200122104002312"
"BLDG20-0387","02/03/2020","RESIDENTIAL COUNTER","REROOF","8817 W 91ST PL","Remove all roofing to decking ...","ARVADA ROOFING & CONSTRUCTION","ECON:200122044857811"
"BLDG20-0505","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6880 W 91ST CT #13307","Remove and replace Water heate...","MR AFFORDABLE","ECON:200128042028984"
"BLDG20-0506","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6885 W 91ST CT #24307","remove and replace water heate...","MR AFFORDABLE","ECON:200128042508075"
"BLDG20-0507","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6885 W 91ST CT #20301","Remove and replace Water heate...","MR AFFORDABLE","ECON:200128042937133"
"BLDG20-0508","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6885 W 91ST CT #22201","Remove and replace Water heate...","MR AFFORDABLE","ECON:200128043125164"
"BLDG20-0509","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6885 W 91ST CT #20301","Remove and replace Water heate...","MR AFFORDABLE","ECON:200128043541224"
"BLDG20-0510","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6885 W 91ST CT #20104","Remove and replace Water heate...","MR AFFORDABLE","ECON:200128043816271"
"BLDG20-0511","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6885 W 91ST CT #23303","remove and replace water heate...","MR AFFORDABLE","ECON:200128044350320"
"BLDG20-0512","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6880 W 91ST CT #1108","Remove and replace Water heate...","MR AFFORDABLE","ECON:200128045441506"
"BLDG20-0513","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6880 W 91ST CT #15202","Remove and Replace Water heate...","MR AFFORDABLE","ECON:200128045557545"
"BLDG20-0526","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","2800 W 110TH CT","Replace 50 gallon 40K BTU nat ...","MCADAMS PLUMBING","ECON:200129103054781"
"BLDG20-0541","02/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7273 MARSHALL CT","furnace and ac and water heate...","EASTWOOD PHE LLC DBA TIPPING H...","ECON:200129063842610"
"BLDG20-0557","02/03/2020","RESIDENTIAL COUNTER","REROOF","9875 REED ST","ReRoof tear down to decking.  ...","THE FIRM LLC","ECON:200130121030826"
"BLDG20-0568","02/03/2020","RESIDENTIAL COUNTER","REROOF","6418 W 97TH PL","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200130052534646"
"BLDG20-0569","02/03/2020","RESIDENTIAL COUNTER","REROOF","10620 W 102ND PL","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200130052920687"
"BLDG20-0570","02/03/2020","RESIDENTIAL COUNTER","REROOF","9320 CARR ST","Complete Re-roof of Home","PENNY ENTERPRISES","ECON:200130055325768"
"BLDG20-0573","02/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10935 FENTON CIR","REPLACE 80% 60 BTU FURNACE & 2...","DOCTOR FIX IT PLUMBING HEATING...","ECON:200131081200495"
"BLDG20-0575","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #513","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200131090744901"
"BLDG20-0579","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #623","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200131103048531"
"BLDG20-0581","02/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","3860 W 99TH PL","install replacements","COOPER HEATING & COOLING INC","ECON:200131112118883"
"BLDG20-0583","02/03/2020","RESIDENTIAL COUNTER","REROOF","9750 W 105TH AVE","re-roof","NATIONAL HOME IMPROVEMENT","ECON:200131012803482"
"BLDG20-0590","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","400 W 123RD AVE BLDG CH","Installed like for like water ...","MASTER ROOTER PLUMBING LLC","ECON:200201064403100"
"BLDG20-0591","02/03/2020","RESIDENTIAL BUILDING","ELECTRICAL","9992 WAGNER LN","Service Upgrade to 200 amps wi...","BRE LLC","ECON:200202121631647"
"BLDG20-0594","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6517 W 95TH PL","replace 40 gallon gas water he...","Steadfast Plumbing Inc","ECON:200203101950857"
"BLDG20-0595","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","5627 W 118TH PL","replacing 50 gallon wh with ne...","Tyco Plumbing Corp - Tyler Cou...","ECON:200203102129902"
"BLDG20-0598","02/03/2020","RESIDENTIAL COUNTER","SEWER REPAIR","6731 W 111TH PL","6' SPOT REPAIR IN FRONT YARD A...","TRENCH RIGHT","ECON:200203121044030"
"BLDG20-0599","02/03/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9810 XAVIER CT","8' SPOT REPAIR IN FRONT YARD A...","TRENCH RIGHT","ECON:200203121144067"
"BLDG20-0600","02/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","11041 MARSHALL ST","install replacements","COOPER HEATING & COOLING INC","ECON:200203124645569"
"BLDG20-0601","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","5721 W 92ND AVE #93","Install 6 year 40 gallon Rheem...","TRIUMPH MEHCANICAL INC","ECON:200203011851720"
"BLDG20-0604","02/03/2020","RESIDENTIAL COUNTER","FURNACE","2933 W 116TH PL #205","Remove & replace 45k 80% effic...","Residential Comfort Services L...","ECON:200203024231584"
"BLDG20-0607","02/03/2020","RESIDENTIAL COUNTER","WATER HEATER","7273 MARSHALL CT","replace 50 gallon gas water he...","EASTWOOD PHE LLC DBA TIPPING H...","ECON:200203033517500"
"BLDG19-7157","02/02/2020","RESIDENTIAL BUILDING","ELECTRICAL","10385 XAVIER ST","Service upgrade and new meter ...","BRE LLC","ECON:191013082014324"
"BLDG20-0261","01/31/2020","RESIDENTIAL EXTERIOR","FENCE","10084 FLOWER ST","Install 75' of iron & 41' of c...","SPLIT RAIL FENCE CO","ECON:200115031912498"
"BLDG20-0263","01/31/2020","RESIDENTIAL EXTERIOR","FENCE","10090 FLOWER ST","Install 75' of iron & 41' of c...","SPLIT RAIL FENCE CO","ECON:200115032754637"
"BLDG20-0322","01/31/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","13996 LEXINGTON PL","full basement finish. 2 bedroo...","Rich Jones","EPRS:200120081057942"
"BLDG20-0528","01/31/2020","RESIDENTIAL COUNTER","REROOF","9344 PIERCE ST","Reroof 19 Sqs w/ IKO Cambridge...","MASTERPIECE ROOFING","ECON:200129103548966"
"BLDG20-0561","01/31/2020","RESIDENTIAL COUNTER","WATER HEATER","3180 W 96TH AVE","replace 40 gallon gas water he...","Steadfast Plumbing Inc","ECON:200130020552058"
"BLDG19-7862","01/30/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","7930 HOOKER ST","Install 8 sq vinyl siding, sof...","POWER HOME REMODELING GROUP","ECON:191107073613468"
"BLDG19-7884","01/30/2020","COMMERCIAL","TENANT FINISH","14533 DELAWARE ST #200","TF for Club Champion Golf - wi...","EPIC CONSTRUCTION INC","ECON:191107043124808"
"BLDG19-8275","01/30/2020","RESIDENTIAL COUNTER","REROOF","9294 W 90TH CIR","Re-Roof, complete tear off.","URBAN EXTERIORS","ECON:191202111504836"
"BLDG19-8710","01/30/2020","COMMERCIAL SIGN","SIGN","7713 W 92ND AVE","Lighted Channel Letter Sign fo...","Front Range Sign Company","ECON:191227042639881"
