"Permit.Number","Applied","Approved","Issued.Date","Finaled","Expired","Permit.Type","Permit.Sub.Type","Status","Subdivision","Address","Description","Job.Value","CO.Issued.Date","Contractor.Name","RECORDID"
"CMIS21-00213","06/03/2021","06/03/2021","06/08/2021","","12/05/2021","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 307","Replacing like for like gas wa...",900,"","MASTER ROOTER PLUMBING LLC","AH:2106030942540527"
"CMIS21-00188","05/25/2021","05/25/2021","05/27/2021","","12/11/2021","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7887 ALLISON WAY 201","REPLACE AC 2 TON 13 SEER",4060,"","AAARK HEATING & AIR INC","DRO:2105250432322465"
"CMIS21-00189","05/25/2021","05/25/2021","05/27/2021","","12/11/2021","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7887 ALLISON WAY 301","REPLACE WATER HEATER 40 GAL 40...",1463,"","AAARK HEATING & AIR INC","DRO:2105250457292648"
"CMIS21-00190","05/25/2021","05/25/2021","05/27/2021","","12/11/2021","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7887 ALLISON WAY 301","REPLACE AC 2 TON 13 SEER AND F...",5000,"","AAARK HEATING & AIR INC","DRO:2105250504322759"
"CMIS21-00191","05/25/2021","06/10/2021","06/14/2021","06/22/2021","","COMMMISC","PLUMBING","FINALED","MARCELLA MANOR","6555 SCHNEIDER WAY","REMOVE AND REPLACE 2 -109 GAL ...",46800,"","ADVANCED HYDRONICS INC","DRO:2105250524102874"
"CMIS21-00185","05/17/2021","05/24/2021","05/24/2021","","11/20/2021","COMMMISC","MECHANICAL","EXPIRED","MOUNTAIN VISTA, MINOR PLAT","8043 LEE DR 203","Replace furnace 70K BTU 96% ef...",0,"","ARS / RESCUE ROOTER","AH:2105171137160913"
"CMIS21-00184","05/14/2021","05/14/2021","05/17/2021","05/27/2021","11/23/2021","COMMMISC","MECHANICAL","FINALED","MAPLELEAF SUBDIVISION FILING N...","7170 SIMMS ST 101","FURANCE 38K BTU 80% AND AC 2 T...",5151.5,"","DOCTOR FIX-IT HTG, COOLING & E...","DRO:2105140439472196"
"CMIS21-00181","05/06/2021","05/06/2021","05/06/2021","","11/02/2021","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 306","INSTALL 30 GAL 32K BTU WATER H...",900,"","MASTER ROOTER PLUMBING LLC","DRO:2105060215051924"
"CMIS21-00182","05/06/2021","05/07/2021","05/10/2021","05/11/2021","","COMMMISC","MECHANICAL","FINALED","PARK CENTER/CANNON MINOR PLAT","8795 RALSTON RD 112","REPLACE AC 100,000 BTUS 3 TON",10295,"","RYCO ENTERPRISES LLC","AH:2105060404182254"
"CMIS21-00180","05/05/2021","05/05/2021","05/07/2021","","11/29/2021","COMMMISC","PLUMBING","EXPIRED","ARVADA MARKETPLACE FILING NO. ...","7370 W 52ND AVE","INTERIOR DRAIN AND SEWER REPLA...",8500,"","FRPHI COMMERCIAL CONTRACTING, ...","AH:2105051148160743"
"CMIS21-00171","05/04/2021","05/04/2021","05/05/2021","06/30/2021","12/27/2021","COMMMISC","MECHANICAL","FINALED","WESTWOODS SHOPPING CENTER FILI...","15400 W 64TH AVE E-1A","Like for like replacements of ...",24000,"","CONDITIONED AIR CORP","DRO:2105040822020174"
"CMIS21-00166","04/28/2021","04/28/2021","04/28/2021","","10/25/2021","COMMMISC","PLUMBING","EXPIRED","WESTDALE TOWNHOMES","7946 CHASE CIR 112","REPLACE WATER HEATER WITH 40 G...",2856,"","APPLEWOOD PLMB, HTG & ELEC","AH:2104281114140856"
"CMIS21-00168","04/28/2021","04/28/2021","05/05/2021","06/08/2021","","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR TOWNHOMES","8733 CHASE DR 145","NEW FURNACE 80% 70K BTU AC 2 T...",10542,"","COOPER HEATING & COOLING INC","DRO:2104280403261796"
"CMIS21-00164","04/26/2021","04/26/2021","04/26/2021","09/29/2021","","COMMMISC","PLUMBING","FINALED","WESTDALE TOWNHOMES","7968 CHASE CIR 91","INSTALL 40 GAL GAS WATER HEATE...",2822,"","AAA SERVICE PLUMBING LLC","AH:2104261116050912"
"CMIS21-00120","04/15/2021","04/15/2021","04/16/2021","07/15/2021","","COMMMISC","PLUMBING","FINALED","COLUMBINE VILLAGE ON ALLISON M...","5320 ALLISON ST 106","WATER HEATER 50 GAL GAS 40K BT...",2211,"","PLUMBLINE SERVICES LLC","DRO:2104150451162126"
"CMIS21-00118","04/14/2021","04/14/2021","04/15/2021","07/12/2021","","COMMMISC","MECHANICAL","FINALED","HOMETOWN NORTH","15517 W 66TH DR C","REPLACE FURNACE 80% 100K ",5000,"","BROTHERS PLUMBING & HEATING IN...","DRO:2104140131520990"
"CMIS21-00119","04/14/2021","04/14/2021","04/14/2021","05/25/2021","","COMMMISC","PLUMBING","FINALED","LAKE ARBOR TOWNHOMES","8654 CHASE DR 338","REPLACE WATER HEATER 40 GAL ",1684,"","STEADFAST PLUMBING INC","DRO:2104140211031155"
"CMIS21-00117","04/13/2021","04/27/2021","04/27/2021","06/16/2021","","COMMMISC","MECHANICAL","FINALED","RAINBOW RIDGE OFFICE PARK LOT ...","5610 WARD RD","Replace two Roof Top Units, li...",135000,"","ROGERS & SONS INC","AH:2104130134061539"
"CMIS21-00116","04/09/2021","04/09/2021","04/14/2021","","12/15/2021","COMMMISC","MECHANICAL","EXPIRED","WHITE STORES DEVELOPMENT PLAN","6842 WADSWORTH BLVD","REMOVE AND REPLACE RTU'S 4,5,8...",138430,"","CONTROL SOLUTIONS, INC.","DRO:2104091214500803"
"CMIS21-00114","04/08/2021","04/08/2021","04/08/2021","","10/11/2021","COMMMISC","PLUMBING","EXPIRED","PLAZA-SIX-FOUR","6350 WADSWORTH BLVD A","INSTALL UP-TO 20FT DRAIN LINE ...",2864.8,"","QUALITY 1ST PLUMBING HEATING A...","AH:2104081050060840"
"CMIS21-00110","04/06/2021","04/06/2021","04/06/2021","04/22/2021","","COMMMISC","PLUMBING","FINALED","THE YACHT CLUB","6880 XAVIER CIR 1","WATER HEATER 40K BTU 40 GAL",1999,"","BROTHERS PLUMBING & HEATING IN...","DRO:2104061240441088"
"CMIS21-00106","04/01/2021","04/01/2021","04/05/2021","","10/02/2021","COMMMISC","MECHANICAL","EXPIRED","THE YACHT CLUB","6820 XAVIER CIR 4","2.5 TON, 13 SEER FURNACE AND 7...",7250,"","ARS / RESCUE ROOTER","AH:2104011129360603"
"CMIS21-00105","03/31/2021","04/01/2021","04/06/2021","","10/03/2021","COMMMISC","PLUMBING","EXPIRED","CREEKSIDE A PLANNED UNIT DEVEL...","5901 PIERCE ST","REPLACING LIKE FOR LIKE 100 GA...",9000,"","MASTER ROOTER PLUMBING LLC","DRO:2103310448191669"
"CMIS21-00101","03/26/2021","03/26/2021","04/09/2021","04/20/2021","","COMMMISC","PLUMBING","FINALED","RALSTON STATION FILING NO. 2 A...","11620 W 62ND PL 204","REPLACE WATER HEATER 50 GAL ",3283,"","AAA SERVICE PLUMBING LLC","DRO:2103260432561552"
"CMIS21-00102","03/26/2021","03/26/2021","04/09/2021","","10/06/2021","COMMMISC","PLUMBING","EXPIRED","ARVADA GARDENS","6021 YARROW ST C22","REPLACE WATER HEATER 40 GAL ",2803,"","AAA SERVICE PLUMBING LLC","DRO:2103260445351662"
"CMIS21-00100","03/25/2021","03/25/2021","03/25/2021","04/26/2021","","COMMMISC","PLUMBING","FINALED","REPLATE OF FINAL PLAT OF ARVAD...","7825 BARBARA ANN DR B","REPLACEMENT OF 50 GAL WATER HE...",900,"","PROSPECT PLUMBING LLC","DRO:2103250520401558"
"CMIS21-00097","03/23/2021","03/23/2021","03/23/2021","","09/19/2021","COMMMISC","MECHANICAL","EXPIRED","RALSTON STATION FILING NO. 2 A...","11624 W 62ND PL 101","FURANCE 75K BTU 80% EFF AND AC...",6433.5,"","ARS / RESCUE ROOTER","DRO:2103230912130260"
"CMIS21-00098","03/23/2021","03/23/2021","03/23/2021","04/09/2021","10/06/2021","COMMMISC","MECHANICAL","FINALED","REPLAT OF LAKE ARBOR VILLAGE A...","5620 W 80TH PL 77","FURANCE 50K BTU 80% EFF",2807.5,"","ARS / RESCUE ROOTER","DRO:2103230920200322"
"CMIS21-00094","03/19/2021","05/12/2022","05/12/2022","","11/08/2022","COMMMISC","MECHANICAL","EXPIRED","ST. ELIAS MINOR SUBDIVISION","7580 PIERCE ST","MODIFY EXISTING SYSTEM REMOVE ...",20000,"","FRONT RANGE WIRELESS INC","DRO:2103190753530058"
"CMIS21-00093","03/17/2021","03/17/2021","03/17/2021","","10/11/2021","COMMMISC","MECHANICAL","EXPIRED","LAKE ARBOR TOWNHOMES","8758 CHASE DR 74","REPLACE LIKE FOR LIKE FURNACE ...",19493,"","APPLEWOOD PLMB, HTG & ELEC","DRO:2103170857050219"
"CMIS21-00092","03/16/2021","03/16/2021","03/17/2021","","09/13/2021","COMMMISC","MECHANICAL","EXPIRED","LAKE ARBOR TOWNHOMES","6946 W 87TH WAY 258","FURANCE 70K BTU AND AC 2 TON",8450,"","SERVICE EXPERTS","DRO:2103160339291503"
"CMIS21-00091","03/11/2021","03/11/2021","03/11/2021","","09/27/2021","COMMMISC","PLUMBING","EXPIRED","SHERIDAN 58/SHREVES MINOR SUBD...","5055 W 58TH AVE","Install 40 gallon electric wat...",2095,"","COFFMAN & COMPANY HEATING AND ...","AH:2103110823480143"
"CMIS21-00086","03/02/2021","03/03/2021","03/03/2021","","01/24/2022","COMMMISC","MECHANICAL","EXPIRED","RALSTON VALLEY GARDENS NO 2","10271 W 59TH AVE 1","A/C INSTALL",4000,"","KACH INC DBA MISTER MECHANICAL","AH:2103021119141120"
"CMIS21-00087","03/02/2021","03/03/2021","03/03/2021","","01/24/2022","COMMMISC","MECHANICAL","EXPIRED","RALSTON VALLEY GARDENS NO 2","10271 W 59TH AVE 2","A/C INSTALL",4000,"","KACH INC DBA MISTER MECHANICAL","AH:2103021127591188"
"CMIS21-00088","03/02/2021","03/03/2021","03/03/2021","","01/24/2022","COMMMISC","MECHANICAL","EXPIRED","RALSTON VALLEY GARDENS NO 2","10271 W 59TH AVE 3","A/C INSTALL",4000,"","KACH INC DBA MISTER MECHANICAL","AH:2103021127591189"
"CMIS21-00089","03/02/2021","03/03/2021","03/03/2021","","01/24/2022","COMMMISC","MECHANICAL","EXPIRED","RALSTON VALLEY GARDENS NO 2","10271 W 59TH AVE 4","A/C INSTALL",4000,"","KACH INC DBA MISTER MECHANICAL","AH:2103021127591190"
"CMIS21-00080","02/22/2021","02/23/2021","02/23/2021","","08/22/2021","COMMMISC","PLUMBING","EXPIRED","ARVADA MARKETPLACE FILING NO. ...","5265 VANCE ST","REPLACING POWER VENT 50 GAL W/...",3665,"","PLANET PLUMBING INC","AH:2102220500281959"
"CMIS21-00077","02/17/2021","02/17/2021","02/22/2021","03/11/2021","","COMMMISC","PLUMBING","FINALED","SKYLINE ESTATES FILING NO. 1 -...","10259 W 55TH DR 202","INSTALL 50 GAL GAS WATER HEATE...",4208,"","AAA SERVICE PLUMBING LLC","DRO:2102170259402412"
"CMIS21-00078","02/17/2021","02/17/2021","02/17/2021","05/11/2021","","COMMMISC","MECHANICAL","FINALED","ST. ANDREW MINOR SUBDIVISION N...","6774 W 66TH AVE","2 STAGE FURNANCE 125K 80%",3995,"","MIGHTY PLUMBING & HEATING LLC","DRO:2102170409592948"
"CMIS21-00069","02/12/2021","02/12/2021","02/15/2021","03/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 101","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102121108340821"
"CMIS21-00070","02/12/2021","02/12/2021","02/15/2021","03/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 201","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102121108340822"
"CMIS21-00071","02/12/2021","02/12/2021","02/15/2021","03/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 301","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102121108340823"
"CMIS21-00072","02/12/2021","02/12/2021","02/15/2021","03/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 103","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102121108340824"
"CMIS21-00073","02/12/2021","02/12/2021","02/15/2021","03/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 203","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102121108340825"
"CMIS21-00074","02/12/2021","02/12/2021","02/15/2021","03/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 303","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102121108340826"
"CMIS21-00061","02/10/2021","02/10/2021","02/11/2021","03/03/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 102","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102101147390726"
"CMIS21-00062","02/10/2021","02/10/2021","02/11/2021","03/03/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 202","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102101147390727"
"CMIS21-00063","02/10/2021","02/10/2021","02/11/2021","03/03/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 302","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102101147390728"
"CMIS21-00064","02/10/2021","02/10/2021","02/11/2021","03/03/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 104","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102101147390729"
"CMIS21-00065","02/10/2021","02/10/2021","02/11/2021","03/03/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 204","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102101147390730"
"CMIS21-00066","02/10/2021","02/10/2021","02/11/2021","03/03/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 304","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102101147390731"
"CMIS21-00067","02/10/2021","02/10/2021","02/24/2021","","08/23/2021","COMMMISC","PLUMBING","EXPIRED","MAPLELEAF SUBDIVISION FILING N...","7120 SIMMS ST 101","WATER HEATER REPLACEMENT - 40 ...",2172,"","JAMES PARK","AH:2102100327141586"
"CMIS21-00054","02/09/2021","02/09/2021","02/09/2021","","10/06/2021","COMMMISC","MECHANICAL","EXPIRED","RALSTON STATION FILING NO. 2 A...","11630 W 62ND PL 202","FURNACE REPLACEMENT, 80K, 80%",9616,"","APPLEWOOD PLMB, HTG & ELEC","AH:2102090822100149"
"CMIS21-00055","02/09/2021","02/09/2021","02/10/2021","03/01/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 111","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102090405541850"
"CMIS21-00056","02/09/2021","02/09/2021","02/10/2021","03/01/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 211","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102090405541851"
"CMIS21-00057","02/09/2021","02/09/2021","02/10/2021","03/01/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 311","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102090405541852"
"CMIS21-00058","02/09/2021","02/09/2021","02/10/2021","03/01/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 113","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102090405541853"
"CMIS21-00059","02/09/2021","02/09/2021","02/10/2021","03/01/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 213","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102090405541854"
"CMIS21-00060","02/09/2021","02/09/2021","02/10/2021","03/01/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 313","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102090405541855"
"CMIS21-00048","02/08/2021","02/08/2021","02/09/2021","02/25/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 112","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102080329061942"
"CMIS21-00049","02/08/2021","02/08/2021","02/09/2021","02/25/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 212","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102080333141999"
"CMIS21-00050","02/08/2021","02/08/2021","02/09/2021","02/25/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 314","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102080333142000"
"CMIS21-00051","02/08/2021","02/08/2021","02/09/2021","02/25/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 114","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102080333142001"
"CMIS21-00052","02/08/2021","02/08/2021","02/09/2021","02/25/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 214","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102080333142002"
"CMIS21-00053","02/08/2021","02/08/2021","02/09/2021","02/25/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 312","REPLACING POLYBUTYLENE POTABLE...",3740,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102080333142003"
"CMIS21-00034","02/03/2021","02/03/2021","02/03/2021","02/12/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 101","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031133410696"
"CMIS21-00035","02/03/2021","02/03/2021","02/03/2021","02/12/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 201","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031133410697"
"CMIS21-00036","02/03/2021","02/03/2021","02/03/2021","02/12/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 301","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031133410698"
"CMIS21-00037","02/03/2021","02/03/2021","02/03/2021","02/12/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 103","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031133410699"
"CMIS21-00038","02/03/2021","02/03/2021","02/03/2021","02/12/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 203","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031133410700"
"CMIS21-00039","02/03/2021","02/03/2021","02/03/2021","02/12/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 303","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031133410701"
"CMIS21-00040","02/03/2021","02/04/2021","02/04/2021","02/22/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 121","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031147140845"
"CMIS21-00041","02/03/2021","02/04/2021","02/04/2021","02/22/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 221","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031147140846"
"CMIS21-00042","02/03/2021","02/04/2021","02/04/2021","02/22/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 321","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031147140847"
"CMIS21-00043","02/03/2021","02/04/2021","02/04/2021","02/22/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 123","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031147140848"
"CMIS21-00044","02/03/2021","02/04/2021","02/04/2021","02/22/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 223","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031147140849"
"CMIS21-00045","02/03/2021","02/04/2021","02/04/2021","02/22/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 323","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102031147140850"
"CMIS21-00019","02/01/2021","02/01/2021","02/01/2021","02/09/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 102","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010343441829"
"CMIS21-00020","02/01/2021","02/01/2021","02/01/2021","02/09/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 202","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010343441830"
"CMIS21-00021","02/01/2021","02/01/2021","02/01/2021","02/09/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 302","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010343441831"
"CMIS21-00022","02/01/2021","02/01/2021","02/01/2021","02/09/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 104","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010343441832"
"CMIS21-00023","02/01/2021","02/01/2021","02/01/2021","02/09/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 204","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010343441833"
"CMIS21-00024","02/01/2021","02/01/2021","02/01/2021","02/09/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 304","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010343441834"
"CMIS21-00025","02/01/2021","02/01/2021","02/02/2021","02/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 111","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010446202267"
"CMIS21-00026","02/01/2021","02/01/2021","02/02/2021","02/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 211","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010446202268"
"CMIS21-00027","02/01/2021","02/01/2021","02/02/2021","02/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 313","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010446202269"
"CMIS21-00028","02/01/2021","02/01/2021","02/02/2021","02/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 113","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010446202270"
"CMIS21-00029","02/01/2021","02/01/2021","02/02/2021","02/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 213","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010446202271"
"CMIS21-00030","02/01/2021","02/01/2021","02/02/2021","02/04/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 311","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2102010446202272"
"CMIS21-00013","01/29/2021","01/29/2021","01/28/2021","02/02/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 112","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101290325281407"
"CMIS21-00014","01/29/2021","01/29/2021","01/28/2021","02/02/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 212","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101290325281408"
"CMIS21-00015","01/29/2021","01/29/2021","01/28/2021","02/02/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 312","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101290325281409"
"CMIS21-00016","01/29/2021","01/29/2021","01/28/2021","02/02/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 314","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101290325281410"
