"Permit Number","Applied","Approved","Issued Date","Finaled","Expired","Permit Type","Permit Sub Type","Status","Subdivision","Address","Description","Job Value","CO Issued Date","Contractor Name","RECORDID"
"ADU21-00019","07/06/2021","09/15/2021","09/15/2021","06/21/2023","","ADU","A","CO ISSUED","WOODLAND VALLEY FILING NO. 1","6742 URBAN CT B","Gates Carriage House at back o...","120000","06/21/2023","EVER-GREEN HOMES","ECON:210706113800420"
"CMIS21-00227","07/06/2021","07/07/2021","07/07/2021","07/09/2021","","COMMMISC","PLUMBING","FINALED","","7555 WADSWORTH BLVD","REPLACING 300 GALLON LIFT STAT...","13000","","APEX PLUMBING INC","DRO:2107060426452261"
"CMIS21-00226","06/30/2021","06/30/2021","07/06/2021","08/31/2021","","COMMMISC","MECHANICAL","FINALED","WESTDALE TOWNHOMES","7999 CHASE CIR 30","REPLACED 70,000 BTU FURNACE & ...","8300","","PUBLIC SERVICE OF CO","AH:2106300429061978"
"CMIS21-00225","06/28/2021","06/28/2021","06/30/2021","10/25/2022","","COMMMISC","MECHANICAL","FINALED","ARVADA RIDGE","5145 KIPLING ST","#3-10 TON AND #5-5 TON RTU's  ...","24899.8","","ALPINE REFRIGERATION INC","DRO:2106280225251834"
"CMIS21-00223","06/25/2021","06/25/2021","06/25/2021","","12/22/2021","COMMMISC","MECHANICAL","EXPIRED","","5200 WADSWORTH BYP","12.5 TON ROOFTOP A/C - NEW ELE...","17219","","BLUE SKY PLUMBING/HTG","AH:2106251130040868"
"CMIS21-00222","06/24/2021","06/24/2021","06/25/2021","07/15/2021","","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR TOWNHOMES","6952 W 87TH WAY 259","REPLACE AC 2 TON 13 SEER","5848","","STEELE BROS HEATING INC","DRO:2106240503192115"
"ADU21-00018","06/22/2021","09/09/2021","09/09/2021","","03/10/2024","ADU","A","ISSUED","FAR HORIZONS - filing no. 1","8251 CHASE WAY","Detached ADU","108668.07","","GUNNISON ENTERPRISES INC","ECON:210622094430176"
"BKFL21-00007","06/22/2021","06/22/2021","06/23/2021","","12/20/2021","BACKFLOW DEVICE","RESIDENTIAL","EXPIRED","AUGUSTUS CHRISTIANS FIRST ADDI...","8108 GRANDVIEW AVE","Sprinkler Tap","1500","","PREMIER BUILDING SERVICES LLC","ECON:210622030941631"
"CMIS21-00220","06/21/2021","06/21/2021","06/21/2021","06/25/2021","","COMMMISC","MECHANICAL","FINALED","MAPLELEAF SUBDIVISION FILING N...","7080 SIMMS ST 106","2.5 A/C REPLACEMENT - DISCONNE...","7000","","BROTHERS PLUMBING & HEATING IN...","AH:2106211142511123"
"BKFL21-00006","06/18/2021","06/21/2021","06/21/2021","08/19/2021","","BACKFLOW DEVICE","RESIDENTIAL","FINALED","MAPLEWOOD ESTATES - SECOND FIL...","6900 PARFET ST","Adding a sprinkler tap and vac...","1500","","PREMIER BUILDING SERVICES LLC","ECON:210618060159727"
"21-00015","06/16/2021","06/22/2021","06/22/2021","","12/19/2021","BLOCK PARTY","PARKS","EXPIRED","SUNRISE RIDGE","SUNRISE RIDGE","Movie night","0","","","EPRS:210616111926175"
"CMIS21-00219","06/16/2021","06/16/2021","06/16/2021","","12/15/2021","COMMMISC","PLUMBING","EXPIRED","LAKE ARBOR TOWNHOMES","8767 CHASE DR 198","40 GAL WATER HEATER REPLACEMEN...","6559","","FIX-IT GROUP LLC","AH:2106161018480733"
"CHG21-00016","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR A-2","Original Certificate of Occupa...","0","","","DMCP:210615012504527"
"CHG21-00017","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR A-4","Original Certificate of Occupa...","0","","","DMCP:210615012504528"
"CHG21-00018","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR A-6","Original Certificate of Occupa...","0","","","DMCP:210615012504529"
"CHG21-00019","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR C-5","Original Certificate of Occupa...","0","","","DMCP:210615012504530"
"CHG21-00020","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR C-7","Original Certificate of Occupa...","0","","","DMCP:210615012504531"
"CHG21-00021","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR B-2","Original Certificate of Occupa...","0","","","DMCP:210615012504532"
"CHG21-00022","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR B-3","Original Certificate of Occupa...","0","","","DMCP:210615012504533"
"CHG21-00023","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR B-4","Original Certificate of Occupa...","0","","","DMCP:210615012504534"
"CHG21-00024","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR B-5","Original Certificate of Occupa...","0","","","DMCP:210615012504535"
"CHG21-00025","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR B-7","Original Certificate of Occupa...","0","","","DMCP:210615012504536"
"CHG21-00026","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR B-8","Original Certificate of Occupa...","0","","","DMCP:210615012504537"
"CHG21-00027","06/15/2021","06/15/2021","06/15/2021","06/15/2021","","CHANGE OF USE","","CO ISSUED","ARVADA ENERGY CENTER - AMENDME...","12545 W 54TH DR B-10","Original Certificate of Occupa...","0","","","DMCP:210615012504538"
"CMIS21-00218","06/15/2021","06/15/2021","06/15/2021","","12/12/2021","COMMMISC","MECHANICAL","EXPIRED","TWIN CREEK HOMES","11575 W 70TH PL G","FURNACE 80K 80% LIKE FOR LIKE","4500","","BROTHERS PLUMBING & HEATING IN...","DRO:2106150852520312"
"ADU21-00017","06/14/2021","06/29/2021","06/29/2021","","07/03/2022","ADU","B","EXPIRED","HACKBERRY ESTATES","7012 VANCE ST","CREATE ADU IN BASEMENT CUT IN ...","60000","","RUSHING CONSTRUCTION LLC","ECON:210614030916226"
"CMIS21-00217","06/14/2021","06/15/2021","06/16/2021","12/14/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","RALSTON VALLEY GARDENS NO 2","10165 W 59TH AVE","EMERGENCY REPLACEMENT OF MAIN ...","18000","","NATURALLY WIRED LLC","AH:2106141207581252"
"ADU21-00016","06/11/2021","02/08/2022","02/14/2022","09/23/2022","","ADU","A","FINALED","","6606 RALSTON RD","ADU above garage","30000","09/23/2022","QUALITY CONST FOR THE FRONT RA...","ECON:210611040149132"
"CMIS21-00216","06/10/2021","06/10/2021","06/10/2021","06/28/2021","","COMMMISC","PLUMBING","FINALED","GRAFF MINOR SUBDIVISION","10734 W 63RD PL 305","40 GAL WATER HEATER REPLACEMEN...","1500","","BUMBLEBEE PLUMBING INC","AH:2106101245081094"
"CMIS21-00214","06/07/2021","06/07/2021","06/07/2021","","01/05/2022","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7881 ALLISON WAY 201","ONE WATER HEATER REPLACEMENT 4...","900","","PROSPECT PLUMBING LLC","AH:2106071231331037"
"BKFL21-00005","06/03/2021","06/03/2021","06/03/2021","06/09/2021","","BACKFLOW DEVICE","RESIDENTIAL","FINALED","THE HIGHLANDS SUBDIVISION, FIL...","7521 MARSHALL ST","BACKFLOW DEVICE FOR LAWN SPRIN...","200","","POWELL STEPHEN L","DRO:2106030842080289"
"CMIS21-00213","06/03/2021","06/03/2021","06/08/2021","","12/05/2021","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 307","Replacing like for like gas wa...","900","","MASTER ROOTER PLUMBING LLC","AH:2106030942540527"
"BKFL21-00004","06/02/2021","06/02/2021","06/09/2021","","12/06/2021","BACKFLOW DEVICE","RESIDENTIAL","EXPIRED","WESTDALE - FILING NO. TWO","7921 FENTON ST","add sprinkler breaker and 5 zo...","3500","","AAARK HEATING & AIR INC","ECON:210602115537823"
"CMIS21-00210","06/01/2021","06/02/2021","06/03/2021","06/08/2021","12/05/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","PLAT of Standley Heights","5290 WARD RD","200 amp panel","3500","","CT ELECTRICAL SERVICES","ECON:210601094030568"
"CMIS21-00208","05/28/2021","06/01/2021","07/14/2021","","01/30/2022","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","THE SHOPS AT RALSTON CREEK II ...","9215 RALSTON RD","TEMP ELECT SERVICE 4 TEMP OFFI...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","DRO:2105281102350609"
"CMIS21-00209","05/28/2021","05/28/2021","05/28/2021","","11/24/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","LAKE ARBOR TOWNHOMES","6901 W 87TH WAY 305","METER RELEASE ","600","","A&J'S ELECTRICAL LLC","DRO:2105281248440841"
"CMIS21-00207","05/27/2021","05/28/2021","05/28/2021","09/24/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","THE LLOYD KING CENTER SUBDIVIS...","6350 SHERIDAN BLVD B114","Reworking existing circuitry f...","1700","","MCBRIDE LIGHTING & ELECTRIC","ECON:210527021309746"
"CMIS21-00188","05/25/2021","05/25/2021","05/27/2021","","12/11/2021","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7887 ALLISON WAY 201","REPLACE AC 2 TON 13 SEER","4060","","AAARK HEATING & AIR INC","DRO:2105250432322465"
"CMIS21-00189","05/25/2021","05/25/2021","05/27/2021","","12/11/2021","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7887 ALLISON WAY 301","REPLACE WATER HEATER 40 GAL 40...","1463","","AAARK HEATING & AIR INC","DRO:2105250457292648"
"CMIS21-00190","05/25/2021","05/25/2021","05/27/2021","","12/11/2021","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7887 ALLISON WAY 301","REPLACE AC 2 TON 13 SEER AND F...","5000","","AAARK HEATING & AIR INC","DRO:2105250504322759"
"CMIS21-00191","05/25/2021","06/10/2021","06/14/2021","06/22/2021","","COMMMISC","PLUMBING","FINALED","MARCELLA MANOR","6555 SCHNEIDER WAY","REMOVE AND REPLACE 2 -109 GAL ...","46800","","ADVANCED HYDRONICS INC","DRO:2105250524102874"
"ADU21-00013","05/20/2021","07/02/2021","07/02/2021","","02/13/2023","ADU","A","EXPIRED","ELYSIAN HEIGHTS","6265 CARR ST B","GARAGE CONVERSION INTO LIVING ...","12750","","BECKEDORFF JAN","AH:2105201210450833"
"CMIS21-00185","05/17/2021","05/24/2021","05/24/2021","","11/20/2021","COMMMISC","MECHANICAL","EXPIRED","MOUNTAIN VISTA, MINOR PLAT","8043 LEE DR 203","Replace furnace 70K BTU 96% ef...","0","","ARS / RESCUE ROOTER","AH:2105171137160913"
"CMIS21-00186","05/17/2021","05/17/2021","05/17/2021","","12/14/2021","COMMERCIAL ELECTRICAL","CONSTRUCTION METER","EXPIRED","CANDELAS COMMERCIAL FILING NO....","9276 WILKERSON CT","Construction Power","1500","","CORE ELECTRIC INC","ECON:210517115112984"
"BKFL21-00003","05/14/2021","05/14/2021","05/18/2021","09/14/2021","","BACKFLOW DEVICE","RESIDENTIAL","FINALED","DEL-RAY SUBDIVISION","6872 VANCE ST","BACKFLOW DEVICE FOR LAWN SPRIN...","2000","","FULLER CHARLES","DRO:2105140433162176"
"CMIS21-00184","05/14/2021","05/14/2021","05/17/2021","05/27/2021","11/23/2021","COMMMISC","MECHANICAL","FINALED","MAPLELEAF SUBDIVISION FILING N...","7170 SIMMS ST 101","FURANCE 38K BTU 80% AND AC 2 T...","5151.5","","DOCTOR FIX-IT HTG, COOLING & E...","DRO:2105140439472196"
"CMIS21-00183","05/07/2021","06/10/2021","06/10/2021","06/23/2021","12/20/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","","8348 HOLMAN ST","POWER SUPPLY AT INDIANA AND 84...","900","","B-TEC INC","AH:2105070940330541"
"CMIS21-00181","05/06/2021","05/06/2021","05/06/2021","","11/02/2021","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 306","INSTALL 30 GAL 32K BTU WATER H...","900","","MASTER ROOTER PLUMBING LLC","DRO:2105060215051924"
"CMIS21-00182","05/06/2021","05/07/2021","05/10/2021","05/11/2021","","COMMMISC","MECHANICAL","FINALED","PARK CENTER/CANNON MINOR PLAT","8795 RALSTON RD 112","REPLACE AC 100,000 BTUS 3 TON","10295","","RYCO ENTERPRISES LLC","AH:2105060404182254"
"CMIS21-00180","05/05/2021","05/05/2021","05/07/2021","","11/29/2021","COMMMISC","PLUMBING","EXPIRED","ARVADA MARKETPLACE FILING NO. ...","7370 W 52ND AVE","INTERIOR DRAIN AND SEWER REPLA...","8500","","FRPHI COMMERCIAL CONTRACTING, ...","AH:2105051148160743"
"CMIS21-00171","05/04/2021","05/04/2021","05/05/2021","06/30/2021","12/27/2021","COMMMISC","MECHANICAL","FINALED","WESTWOODS SHOPPING CENTER FILI...","15400 W 64TH AVE E-1A","Like for like replacements of ...","24000","","CONDITIONED AIR CORP","DRO:2105040822020174"
"CMIS21-00172","05/04/2021","05/21/2021","05/24/2021","","03/04/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","8994 RALSTON RD","LIGHTING CONTROL METERS RALSTO...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","AH:2105041218181194"
"CMIS21-00174","05/04/2021","05/26/2022","05/26/2022","","01/29/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","","5785 ALLISON ST","LIGHTING CONTROL METERS RALSTO...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","AH:2105041224001309"
"CMIS21-00175","05/04/2021","06/30/2022","08/01/2022","","01/29/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","","5792 UPHAM ST","LIGHTING CONTROL METERS RALSTO...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","AH:2105041224001310"
"CMIS21-00176","05/04/2021","07/21/2022","07/21/2022","","01/29/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","","5798 GARRISON ST","TRAFFIC SIGINAL CONTROL METERS...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","AH:2105041231111362"
"CMIS21-00177","05/04/2021","07/21/2022","05/26/2022","","03/04/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","5804 CARR ST","SIGNAL CONTROL METERS RALSTON ...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","AH:2105041231111363"
"CMIS21-00178","05/04/2021","07/21/2022","05/25/2022","","04/03/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","","8262 RALSTON RD","SIGNAL CONTROL METERS RALSTON ...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","AH:2105041231111364"
"CMIS21-00179","05/04/2021","07/21/2022","07/21/2022","","02/26/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","5739 ALLISON ST","SIGNAL CONTROL METERS RALSTON ...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","AH:2105041231111365"
"CMIS21-00169","04/30/2021","05/11/2021","05/18/2021","09/15/2021","","COMMERCIAL ELECTRICAL","CONSTRUCTION METER","FINALED","ARVADA RIDGE","5053 KIPLING ST","Metered service for EV Chargin...","2250","","STURGEON ELECTRIC COMPANY INC","ECON:210430022111822"
"CMIS21-00170","04/30/2021","05/05/2021","05/10/2021","","11/07/2021","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","Arvada Col. Ter.","5760 WADSWORTH BLVD E","LIGHTING","5000","","POSITIVE ENERGY ELECTRICAL COR...","AH:2104300329011337"
"CMIS21-00166","04/28/2021","04/28/2021","04/28/2021","","10/25/2021","COMMMISC","PLUMBING","EXPIRED","WESTDALE TOWNHOMES","7946 CHASE CIR 112","REPLACE WATER HEATER WITH 40 G...","2856","","APPLEWOOD PLMB, HTG & ELEC","AH:2104281114140856"
"CMIS21-00168","04/28/2021","04/28/2021","05/05/2021","06/08/2021","","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR TOWNHOMES","8733 CHASE DR 145","NEW FURNACE 80% 70K BTU AC 2 T...","10542","","COOPER HEATING & COOLING INC","DRO:2104280403261796"
"CMIS21-00164","04/26/2021","04/26/2021","04/26/2021","09/29/2021","","COMMMISC","PLUMBING","FINALED","WESTDALE TOWNHOMES","7968 CHASE CIR 91","INSTALL 40 GAL GAS WATER HEATE...","2822","","AAA SERVICE PLUMBING LLC","AH:2104261116050912"
"CMIS21-00125","04/22/2021","04/27/2021","06/23/2021","07/28/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","RALSTON VALLEY GARDENS NO 2","10271 W 59TH AVE","Service Change for all 4 units...","8000","","CONDUIT ELECTRIC LLC","ECON:210422101030963"
"CMIS21-00126","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 102","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221013220527"
"CMIS21-00127","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 103","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221159310831"
"CMIS21-00128","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 104","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221201020842"
"CMIS21-00129","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 105","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221202360863"
"CMIS21-00130","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 106","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221203260879"
"CMIS21-00131","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 107","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221204290899"
"CMIS21-00132","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 108","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221206220920"
"CMIS21-00133","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 109","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221207320933"
"CMIS21-00134","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 110","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221208570956"
"CMIS21-00135","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 111","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221209520967"
"CMIS21-00136","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 114","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221210300978"
"CMIS21-00137","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 118","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221211260990"
"CMIS21-00138","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 202","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221213551009"
"CMIS21-00139","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 203","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221215181021"
"CMIS21-00140","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 204","NEW CIRCUIT BREAKE NO PANEL UP...","1166","","PIPER ELECTRIC CO INC","DRO:2104221216071035"
"CMIS21-00141","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 205","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221217171046"
"CMIS21-00142","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 206","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221218511065"
"CMIS21-00143","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 207","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221222301080"
"CMIS21-00144","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 208","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221223081092"
"CMIS21-00145","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 209","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221223261105"
"CMIS21-00146","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 210","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221223411117"
"CMIS21-00147","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 211","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221223591129"
"CMIS21-00148","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 213","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221226181149"
"CMIS21-00149","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 215","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221226461163"
"CMIS21-00150","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 224","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221228451187"
"CMIS21-00151","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 302","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221229021198"
"CMIS21-00152","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 303","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221229181209"
"CMIS21-00153","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 304","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221229291220"
"CMIS21-00154","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 305","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221231441238"
"CMIS21-00155","04/22/2021","04/22/2021","04/23/2021","04/29/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 306","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221231581249"
"CMIS21-00156","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 307","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221232131260"
"CMIS21-00157","04/22/2021","04/22/2021","04/23/2021","05/18/2021","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","7650 W 68TH AVE 308","NEW CIRCUIT BREAKER NO PANEL U...","1166","","PIPER ELECTRIC CO INC","DRO:2104221232231271"
